Sampling size,Type,Res1,Res2,Data size,Dist train size,Elapsed time (min),RMSE1,RMSE2,Sampling RMSE1,Sampling RMSE2,MAE1,MAE2,Sampling MAE1,Sampling MAE2,RMSE1 Ratio,RMSE2 Ratio,MAE1 Ratio,MAE2 Ratio
50,Normal,200,200,200,8000000,28.78,0.016723,0.014758,0.013666,0.009752,0.012578,0.010359,0.009460,0.006761,1.223712,1.513412,1.329582,1.532192
5,Normal,200,200,500,20000000,41.35,0.045301,0.029702,0.043239,0.033485,0.032473,0.023376,0.029919,0.023551,1.047691,0.887029,1.085344,0.992556
10,Normal,200,200,500,20000000,55.62,0.032440,0.023932,0.030538,0.022579,0.023515,0.017895,0.021136,0.015742,1.062280,1.059911,1.112578,1.136753
20,Normal,200,200,500,20000000,69.71,0.023563,0.015875,0.021608,0.015620,0.017360,0.012054,0.014958,0.010851,1.090493,1.016294,1.160556,1.110882
30,Normal,200,200,500,20000000,73.02,0.019502,0.014758,0.017654,0.012664,0.014510,0.010961,0.012219,0.008786,1.104666,1.165353,1.187509,1.247515
40,Normal,200,200,500,20000000,73.41,0.017521,0.014299,0.015277,0.010926,0.013099,0.010298,0.010574,0.007576,1.146879,1.308782,1.238745,1.359176
50,Normal,200,200,500,20000000,73.79,0.016187,0.014163,0.013674,0.009743,0.012124,0.009866,0.009465,0.006754,1.183791,1.453714,1.280946,1.460687
5,Beta,100,100,100,1000000,16.47,1.707766,1.715226,1878985.190582,394149.385713,1.309082,1.315756,3789.391822,1100.383045,0.000001,0.000004,0.000345,0.001196
10,Beta,100,100,100,1000000,16.83,1.470413,1.482843,118.975608,130.667121,1.106332,1.116587,3.773051,3.979160,0.012359,0.011348,0.293219,0.280609
20,Beta,100,100,100,1000000,17.22,1.233601,1.246881,5.342014,4.498887,0.913798,0.921157,1.754273,1.748702,0.230924,0.277153,0.520898,0.526766
30,Beta,100,100,100,1000000,17.26,1.107845,1.121778,2.680779,2.580381,0.812798,0.819976,1.320124,1.317585,0.413255,0.434734,0.615698,0.622333
40,Beta,100,100,100,1000000,17.46,1.015358,1.033892,2.057641,1.986783,0.740702,0.749068,1.102502,1.099649,0.493457,0.520385,0.671837,0.681188
50,Beta,100,100,100,1000000,17.24,0.951621,0.966220,1.637933,1.662244,0.690626,0.698036,0.958790,0.963828,0.580989,0.581274,0.720311,0.724232
5,Beta,200,200,200,8000000,133.04,1.693153,1.695251,1984343.563818,4858318.879629,1.300221,1.301433,2226.068270,5782.210060,0.000001,0.000000,0.000584,0.000225
10,Beta,200,200,200,8000000,134.82,1.455397,1.466337,63.998099,74.895289,1.097071,1.104419,3.362762,3.376038,0.022741,0.019578,0.326241,0.327135
20,Beta,200,200,200,8000000,137.53,1.218920,1.232463,4.387642,5.018607,0.903811,0.911308,1.716442,1.720191,0.277807,0.245579,0.526561,0.529772
